trade_id,open_ts,direction,poly_slug,kalshi_ticker,poly_ask,kalshi_ask,cost,profit_pct_open,poly_shares,kalshi_shares,invest_usd,poly_close_ts,kalshi_close_ts,poly_winner,kalshi_winner,poly_payout,kalshi_payout,total_payout,pnl,pnl_pct,notes
5,2026-05-05 11:00:02,A,btc-updown-15m-1777978800,KXBTC15M-26MAY050700,0.54,0.021,0.561,43.9,92.5926,2380.9524,100.0,2026-05-05 11:15:01,2026-05-05 11:15:01,UP,YES,92.5926,0.0,92.5926,-7.4074,-7.41,
6,2026-05-05 11:00:42,A,btc-updown-15m-1777978800,KXBTC15M-26MAY050715,0.39,0.49,0.88,12.0,128.2051,102.0408,100.0,2026-05-05 11:15:01,2026-05-05 11:15:01,UP,YES,128.2051,0.0,128.2051,28.2051,28.21,
7,2026-05-05 11:01:02,B,btc-updown-15m-1777978800,KXBTC15M-26MAY050715,0.57,0.29,0.86,14.0,87.7193,172.4138,100.0,2026-05-05 11:15:01,2026-05-05 11:15:01,UP,YES,0.0,172.4138,172.4138,72.4138,72.41,
8,2026-05-05 11:15:13,A,btc-updown-15m-1777979700,KXBTC15M-26MAY050730,0.38,0.45,0.83,17.0,131.5789,111.1111,100.0,2026-05-05 11:30:00,2026-05-05 11:30:00,DOWN,YES,0.0,0.0,0.0,-100.0,-100.0,
9,2026-05-05 11:30:12,A,btc-updown-15m-1777980600,KXBTC15M-26MAY050730,0.46,0.002,0.462,53.8,108.6957,25000.0,100.0,2026-05-05 11:45:01,2026-05-05 11:45:01,UP,YES,108.6957,0.0,108.6957,8.6957,8.7,
10,2026-05-05 11:31:08,A,btc-updown-15m-1777980600,KXBTC15M-26MAY050745,0.38,0.51,0.89,11.0,131.5789,98.0392,100.0,2026-05-05 11:45:01,2026-05-05 11:45:01,UP,YES,131.5789,0.0,131.5789,31.5789,31.58,
11,2026-05-05 11:31:42,B,btc-updown-15m-1777980600,KXBTC15M-26MAY050745,0.5,0.39,0.89,11.0,100.0,128.2051,100.0,2026-05-05 11:45:01,2026-05-05 11:45:01,UP,YES,0.0,128.2051,128.2051,28.2051,28.21,
12,2026-05-05 11:48:10,A,btc-updown-15m-1777981500,KXBTC15M-26MAY050800,0.49,0.38,0.87,13.0,102.0408,131.5789,100.0,2026-05-05 12:00:00,2026-05-05 12:00:00,DOWN,NO,0.0,131.5789,131.5789,31.5789,31.58,
13,2026-05-05 11:58:08,B,btc-updown-15m-1777981500,KXBTC15M-26MAY050800,0.87,0.021,0.891,10.9,57.4713,2380.9524,100.0,2026-05-05 12:00:01,2026-05-05 12:00:01,DOWN,NO,57.4713,0.0,57.4713,-42.5287,-42.53,
14,2026-05-05 12:01:07,A,btc-updown-15m-1777982400,KXBTC15M-26MAY050815,0.34,0.55,0.89,11.0,147.0588,90.9091,100.0,2026-05-05 12:15:00,2026-05-05 12:15:00,UP,YES,147.0588,0.0,147.0588,47.0588,47.06,
